user_id,outfit_id,view_time_seconds
<<<<<<< HEAD
9,1700,5
9,2735,4
9,2787,3
9,2143,3
9,2423,5
9,2146,5
9,2597,1
9,1949,5
9,2764,1
9,2554,3
9,2734,27
9,2717,5
9,2016,21
9,2786,5
9,2006,1
9,2261,5
9,2438,1
9,2779,5
9,1636,1
9,2217,1
9,2526,11
9,2229,24
9,1676,2
9,2741,1
9,2740,12
9,2768,5
9,2797,5
9,1966,3
9,2581,1
9,2425,1
9,1937,19
9,2280,1
9,1855,1
9,2024,4
9,1637,5
9,1976,3
9,2027,5
9,1706,1
9,2254,3
9,1644,2
9,2199,4
9,2789,8
9,1975,14
9,2772,3
9,1835,4
9,2755,1
9,1932,4
9,1908,4
9,2472,14
9,2660,3
9,2182,4
9,1869,2
9,2153,2
9,1877,3
9,2588,5
9,1675,1
9,1901,2
9,2397,1
9,1902,18
9,2017,5
9,2784,2
9,2716,3
9,2436,1
9,2859,2
9,2138,12
9,2457,27
10,1915,5
10,1877,4
10,1955,5
10,2470,1
10,2826,4
10,2816,1
10,1889,2
10,2012,25
10,2490,3
10,1643,3
10,1674,2
10,2579,3
10,2572,1
10,1933,21
10,2223,2
10,2819,2
10,1861,5
10,2858,2
10,2227,1
10,1981,3
10,1881,4
10,1950,3
10,2450,2
10,1859,1
10,2251,2
10,1720,3
10,1893,4
10,2811,5
10,1686,5
10,2265,3
10,1972,2
10,2821,26
10,2179,1
10,1724,4
10,2575,2
10,1923,2
10,2834,4
10,2471,3
10,2208,4
10,1664,28
10,2168,2
10,2563,3
10,1647,5
10,1690,1
10,2479,11
10,1940,5
10,1634,5
10,2228,1
10,2496,4
10,2541,5
10,1641,3
10,2271,1
10,2229,3
10,2536,2
10,2549,20
10,1865,4
10,1645,4
10,1726,1
10,1663,2
10,2507,3
10,1671,5
10,2207,2
10,2825,2
10,1878,2
10,2446,4
10,2570,2
10,2382,3
10,2064,2
10,1713,3
10,2300,2
10,2832,4
10,1763,5
10,1997,4
10,2502,5
10,2614,5
10,1983,3
10,2618,2
10,1795,4
10,1934,2
10,2145,2
10,2752,4
10,2672,1
10,2736,1
10,1826,2
10,1644,5
10,2523,2
10,2749,3
10,1747,4
10,2190,3
10,1715,28
10,2732,3
10,2074,5
10,2621,3
10,1803,4
11,1441,10
11,569,2
11,1036,1
11,1286,3
11,27,2
11,617,4
11,156,4
11,1494,5
11,951,2
11,1173,5
11,650,24
11,392,13
11,1067,1
11,1422,2
11,1149,4
11,921,5
11,948,3
11,700,2
11,1472,8
11,503,2
11,1242,1
11,1129,2
11,483,18
11,1586,2
11,639,5
11,291,1
11,524,1
11,244,2
11,77,3
11,1405,1
11,1380,2
11,193,5
11,520,2
11,605,4
11,15,4
11,390,1
11,954,3
11,622,2
11,312,23
11,1147,5
11,724,2
11,1212,1
11,95,2
11,1026,3
11,1324,1
11,1377,3
11,1261,1
11,317,2
11,435,1
11,100,5
11,96,13
11,438,5
11,775,2
11,1310,5
11,592,3
11,717,4
11,808,4
11,70,3
11,83,1
11,1445,4
11,1118,2
11,536,1
11,308,3
11,53,19
11,752,5
11,1510,4
11,1023,4
11,535,28
11,1088,4
11,789,3
11,1037,4
11,1548,2
11,1560,2
11,1113,2
11,120,1
11,1525,3
11,1331,5
11,537,3
11,262,2
11,36,8
11,1151,3
11,602,2
11,1597,4
11,1179,3
11,1352,1
11,858,2
12,2007,1
12,1676,3
12,2843,4
12,1867,3
12,2811,6
12,2227,5
12,2195,3
12,2006,7
12,2018,2
12,2603,5
12,1985,1
12,2458,1
12,1645,1
12,2588,3
12,1959,5
12,2807,17
12,2015,4
12,2270,4
12,1946,3
12,2518,3
12,1875,1
12,2276,1
12,2230,1
12,1726,5
12,1933,8
12,2156,4
12,2496,2
12,2819,5
12,2182,2
12,1681,1
12,1932,1
12,2601,2
12,1661,3
12,2275,2
12,2273,4
12,1894,2
12,2164,3
12,1664,4
12,2450,2
12,2862,1
12,1968,4
12,2577,5
12,1928,3
12,2555,2
12,1925,3
12,2067,18
12,2029,1
12,2847,7
12,2165,1
12,1951,5
12,1929,3
12,1798,1
12,2772,4
12,2756,4
12,2676,4
12,2674,4
12,1976,1
12,1757,2
12,2442,2
12,2743,5
12,2519,3
12,2215,3
12,2399,1
12,2482,5
13,1443,3
13,1324,1
13,353,5
13,1037,1
13,127,6
13,362,5
13,1309,4
13,1131,5
13,1249,2
13,618,5
13,450,5
13,1573,2
13,534,1
13,949,4
13,198,3
13,604,4
13,544,5
13,1558,5
13,1569,5
13,221,2
13,161,1
13,1622,4
13,712,4
13,79,2
13,1169,20
13,747,4
13,276,5
13,798,5
13,954,5
13,1192,5
13,1310,15
13,1270,3
13,1376,2
13,85,3
13,1093,3
13,1010,2
13,23,1
13,27,3
13,656,24
13,752,2
13,654,5
13,542,3
13,1107,4
13,1571,14
13,810,1
13,550,3
13,1559,5
13,1572,5
13,436,4
13,847,4
13,1213,3
13,641,2
13,1197,4
13,1135,3
13,971,2
13,765,1
13,894,5
13,881,5
13,1512,2
13,1110,3
13,792,14
13,729,2
13,1532,3
13,724,2
13,1234,1
13,1483,17
13,43,3
13,244,2
13,1428,2
13,285,4
13,669,3
13,1230,5
13,1394,15
13,571,4
13,912,5
13,944,1
13,1134,4
13,610,5
13,251,1
13,210,4
13,762,1
13,905,4
13,979,3
13,377,1
13,529,1
13,231,2
13,860,3
13,687,2
13,743,3
13,725,5
14,683,23
14,1148,1
14,1528,2
14,1199,2
14,1389,2
14,1568,19
14,1268,5
14,938,3
14,988,2
14,298,4
14,1209,3
14,61,5
14,1500,1
14,1427,1
14,1110,30
14,1443,3
14,1237,2
14,1101,4
14,421,2
14,747,5
14,55,3
14,263,4
14,1267,3
14,541,2
14,427,1
14,508,5
14,1217,2
14,1144,2
14,806,17
14,705,2
14,1370,2
14,1120,3
14,943,1
14,1357,1
14,622,3
14,1547,5
14,1161,2
14,1306,4
14,1481,5
14,1297,5
14,1263,4
14,1107,2
14,557,4
14,1106,2
14,902,3
14,680,1
14,1504,5
14,166,4
14,198,9
14,300,5
14,1425,1
14,1004,1
14,63,14
14,1340,2
15,304,4
15,342,4
15,1289,1
15,1260,1
15,422,5
15,237,4
15,23,4
15,949,3
15,497,3
15,1438,3
15,757,5
15,1447,2
15,183,3
15,1364,12
15,798,5
15,816,2
15,862,5
15,1229,4
15,651,2
15,1183,2
15,505,1
15,633,1
15,913,2
15,1316,3
15,665,3
15,1038,2
15,957,5
15,1431,1
15,1025,2
15,908,4
15,407,1
15,1476,5
15,1111,1
15,1236,5
15,197,3
15,446,2
15,399,2
15,800,1
15,556,29
15,1272,2
15,1010,1
15,808,3
15,506,1
15,338,1
15,1031,8
15,1367,1
15,258,2
15,94,1
15,1318,3
15,290,4
15,1550,3
15,1349,1
15,675,3
15,373,5
15,366,4
15,486,3
15,1213,21
15,121,2
15,1612,3
15,1174,2
15,1219,1
15,376,3
15,1022,5
15,1151,3
15,120,1
15,558,2
15,1011,1
15,1188,5
15,1249,4
15,1585,3
15,1269,5
15,927,3
15,719,5
15,1013,1
16,1485,4
16,308,5
16,1307,4
16,24,1
16,211,1
16,58,2
16,952,5
16,1505,12
16,124,3
16,1615,28
16,1041,1
16,1489,5
16,1623,1
16,917,4
16,819,2
16,1611,3
16,853,3
16,794,5
16,1584,29
16,120,5
16,573,3
16,667,1
16,1598,5
16,129,5
16,1401,4
16,158,3
16,1610,5
16,997,6
16,581,29
16,1618,4
16,731,2
16,1104,2
16,1600,1
16,1593,1
16,568,3
16,49,5
16,1628,4
16,1575,2
16,94,4
16,970,12
16,883,3
16,373,5
16,636,1
16,488,1
16,724,5
16,867,4
16,47,2
16,689,24
16,98,3
16,179,2
16,1394,18
16,1440,4
16,330,5
16,1480,5
16,721,27
16,442,1
16,550,2
16,164,5
16,1299,1
16,517,4
16,911,5
16,1478,3
16,489,3
16,247,4
16,864,5
16,892,3
16,1370,1
16,1582,3
16,750,4
16,1402,2
16,368,1
16,738,1
16,140,19
16,1408,1
16,280,26
17,2196,5
17,1990,4
17,2274,7
17,1987,4
17,1975,23
17,2506,4
17,2094,19
17,1707,11
17,2376,2
17,1983,3
17,2197,3
17,2312,1
17,2115,10
17,2250,1
17,1768,1
17,1690,4
17,1794,4
17,2219,4
17,2292,2
17,2515,4
17,1934,5
17,1940,5
17,2014,5
17,2323,4
17,2536,3
17,2333,5
17,2588,2
17,2329,3
17,2517,1
17,1761,5
17,2353,5
17,2692,1
17,2063,2
17,1698,4
17,2584,4
17,2047,3
17,2042,5
17,1773,5
17,1711,2
17,2079,5
17,2313,4
17,2614,1
17,2543,4
17,2661,5
17,2668,5
